date,currency,rate_to_usd
2026-05-19,USD,1.0
2026-05-20,USD,1.0
2026-05-21,USD,1.0
2026-05-22,USD,1.0
2026-05-25,USD,1.0
2026-05-26,USD,1.0
2026-05-27,USD,1.0
2026-05-28,USD,1.0
2026-05-29,USD,1.0
2026-06-01,USD,1.0
2026-06-02,USD,1.0
2026-06-03,USD,1.0
2026-06-04,USD,1.0
2026-06-05,USD,1.0
2026-06-08,USD,1.0
2026-06-09,USD,1.0
2026-06-10,USD,1.0
2026-06-11,USD,1.0
2026-06-12,USD,1.0
2026-06-15,USD,1.0
2026-06-16,USD,1.0
2026-06-17,USD,1.0
2026-06-18,USD,1.0
2026-06-19,USD,1.0
2025-11-03,EUR,1.072309
2025-11-04,EUR,1.068801
2025-11-05,EUR,1.076862
2025-11-06,EUR,1.081382
2025-11-07,EUR,1.083925
2025-11-10,EUR,1.087891
2025-11-11,EUR,1.082229
2025-11-12,EUR,1.087272
2025-11-13,EUR,1.096583
2025-11-14,EUR,1.107525
2025-11-17,EUR,1.108035
2025-11-18,EUR,1.109388
2025-11-19,EUR,1.10664
2025-11-20,EUR,1.111615
2025-11-21,EUR,1.117613
2025-11-24,EUR,1.122427
2025-11-25,EUR,1.120889
2025-11-26,EUR,1.118219
2025-11-27,EUR,1.129306
2025-11-28,EUR,1.132279
2025-12-01,EUR,1.138588
2025-12-02,EUR,1.137151
2025-12-03,EUR,1.130364
2025-12-04,EUR,1.133235
2025-12-05,EUR,1.13762
2025-12-08,EUR,1.130193
2025-12-09,EUR,1.124322
2025-12-10,EUR,1.123528
2025-12-11,EUR,1.127114
2025-12-12,EUR,1.126184
2025-12-15,EUR,1.124572
2025-12-16,EUR,1.117089
2025-12-17,EUR,1.111257
2025-12-18,EUR,1.111142
2025-12-19,EUR,1.110837
2025-12-22,EUR,1.108835
2025-12-23,EUR,1.106382
2025-12-24,EUR,1.105966
2025-12-25,EUR,1.098712
2025-12-26,EUR,1.105174
2025-12-29,EUR,1.111844
2025-12-30,EUR,1.108554
2025-12-31,EUR,1.10411
2026-01-01,EUR,1.100991
2026-01-02,EUR,1.101898
2026-01-05,EUR,1.095915
2026-01-06,EUR,1.096327
2026-01-07,EUR,1.096762
2026-01-08,EUR,1.098653
2026-01-09,EUR,1.103285
2026-01-12,EUR,1.1026
2026-01-13,EUR,1.097962
2026-01-14,EUR,1.107476
2026-01-15,EUR,1.111712
2026-01-16,EUR,1.11095
2026-01-19,EUR,1.112149
2026-01-20,EUR,1.103122
2026-01-21,EUR,1.098083
2026-01-22,EUR,1.096279
2026-01-23,EUR,1.095948
2026-01-26,EUR,1.096045
2026-01-27,EUR,1.097653
2026-01-28,EUR,1.095046
2026-01-29,EUR,1.081544
2026-01-30,EUR,1.080421
2026-02-02,EUR,1.081687
2026-02-03,EUR,1.076668
2026-02-04,EUR,1.075492
2026-02-05,EUR,1.080598
2026-02-06,EUR,1.080386
2026-02-09,EUR,1.081448
2026-02-10,EUR,1.070336
2026-02-11,EUR,1.073097
2026-02-12,EUR,1.06705
2026-02-13,EUR,1.073013
2026-02-16,EUR,1.064854
2026-02-17,EUR,1.059762
2026-02-18,EUR,1.054392
2026-02-19,EUR,1.055987
2026-02-20,EUR,1.06218
2026-02-23,EUR,1.065561
2026-02-24,EUR,1.067307
2026-02-25,EUR,1.068785
2026-02-26,EUR,1.067419
2026-02-27,EUR,1.064189
2026-03-02,EUR,1.061802
2026-03-03,EUR,1.066106
2026-03-04,EUR,1.074293
2026-03-05,EUR,1.074059
2026-03-06,EUR,1.076752
2026-03-09,EUR,1.073599
2026-03-10,EUR,1.072209
2026-03-11,EUR,1.072042
2026-03-12,EUR,1.073554
2026-03-13,EUR,1.077292
2026-03-16,EUR,1.080417
2026-03-17,EUR,1.083805
2026-03-18,EUR,1.078736
2026-03-19,EUR,1.072773
2026-03-20,EUR,1.068468
2026-03-23,EUR,1.070906
2026-03-24,EUR,1.07422
2026-03-25,EUR,1.077893
2026-03-26,EUR,1.083532
2026-03-27,EUR,1.090148
2026-03-30,EUR,1.090605
2026-03-31,EUR,1.089585
2026-04-01,EUR,1.097191
2026-04-02,EUR,1.107552
2026-04-03,EUR,1.112767
2026-04-06,EUR,1.107141
2026-04-07,EUR,1.104755
2026-04-08,EUR,1.100117
2026-04-09,EUR,1.099494
2026-04-10,EUR,1.091585
2026-04-13,EUR,1.096555
2026-04-14,EUR,1.098853
2026-04-15,EUR,1.097133
2026-04-16,EUR,1.103364
2026-04-17,EUR,1.104023
2026-04-20,EUR,1.105335
2026-04-21,EUR,1.106939
2026-04-22,EUR,1.105239
2026-04-23,EUR,1.099191
2026-04-24,EUR,1.1012
2026-04-27,EUR,1.100657
2026-04-28,EUR,1.091299
2026-04-29,EUR,1.088379
2026-04-30,EUR,1.086336
2026-05-01,EUR,1.089206
2026-05-04,EUR,1.089841
2026-05-05,EUR,1.093842
2026-05-06,EUR,1.096243
2026-05-07,EUR,1.095163
2026-05-08,EUR,1.088041
2026-05-11,EUR,1.092939
2026-05-12,EUR,1.089075
2026-05-13,EUR,1.091716
2026-05-14,EUR,1.095504
2026-05-15,EUR,1.09191
2026-05-18,EUR,1.087325
2026-05-19,EUR,1.087999
2026-05-20,EUR,1.086623
2026-05-21,EUR,1.088627
2026-05-22,EUR,1.093288
2026-05-25,EUR,1.087851
2026-05-26,EUR,1.084422
2026-05-27,EUR,1.096489
2026-05-28,EUR,1.094993
2026-05-29,EUR,1.101852
2026-06-01,EUR,1.102872
2026-06-02,EUR,1.096347
2026-06-03,EUR,1.093577
2026-06-04,EUR,1.096487
2026-06-05,EUR,1.092232
2026-06-08,EUR,1.09587
2026-06-09,EUR,1.09821
2026-06-10,EUR,1.094735
2026-06-11,EUR,1.092891
2026-06-12,EUR,1.089682
2026-06-15,EUR,1.090621
2026-06-16,EUR,1.101611
2026-06-17,EUR,1.104609
2026-06-18,EUR,1.10684
2026-06-19,EUR,1.110052
2025-11-03,HKD,0.128053
2025-11-04,HKD,0.127862
2025-11-05,HKD,0.128136
2025-11-06,HKD,0.128048
2025-11-07,HKD,0.128052
2025-11-10,HKD,0.128228
2025-11-11,HKD,0.128092
2025-11-12,HKD,0.128158
2025-11-13,HKD,0.128192
2025-11-14,HKD,0.12809
2025-11-17,HKD,0.128124
2025-11-18,HKD,0.127796
2025-11-19,HKD,0.127665
2025-11-20,HKD,0.127969
2025-11-21,HKD,0.127786
2025-11-24,HKD,0.127792
2025-11-25,HKD,0.127822
2025-11-26,HKD,0.128048
2025-11-27,HKD,0.127992
2025-11-28,HKD,0.128078
2025-12-01,HKD,0.128198
2025-12-02,HKD,0.128206
2025-12-03,HKD,0.128134
2025-12-04,HKD,0.128541
2025-12-05,HKD,0.128577
2025-12-08,HKD,0.128636
2025-12-09,HKD,0.12883
2025-12-10,HKD,0.128559
2025-12-11,HKD,0.128586
2025-12-12,HKD,0.128818
2025-12-15,HKD,0.128967
2025-12-16,HKD,0.128686
2025-12-17,HKD,0.128815
2025-12-18,HKD,0.129021
2025-12-19,HKD,0.128782
2025-12-22,HKD,0.12875
2025-12-23,HKD,0.12857
2025-12-24,HKD,0.128558
2025-12-25,HKD,0.128796
2025-12-26,HKD,0.128787
2025-12-29,HKD,0.128758
2025-12-30,HKD,0.128778
2025-12-31,HKD,0.128669
2026-01-01,HKD,0.128674
2026-01-02,HKD,0.128459
2026-01-05,HKD,0.128252
2026-01-06,HKD,0.128444
2026-01-07,HKD,0.128698
2026-01-08,HKD,0.129152
2026-01-09,HKD,0.12907
2026-01-12,HKD,0.129135
2026-01-13,HKD,0.129069
2026-01-14,HKD,0.129294
2026-01-15,HKD,0.129201
2026-01-16,HKD,0.128839
2026-01-19,HKD,0.128853
2026-01-20,HKD,0.128603
2026-01-21,HKD,0.128725
2026-01-22,HKD,0.128861
2026-01-23,HKD,0.128791
2026-01-26,HKD,0.12886
2026-01-27,HKD,0.128949
2026-01-28,HKD,0.12881
2026-01-29,HKD,0.128833
2026-01-30,HKD,0.129075
2026-02-02,HKD,0.129168
2026-02-03,HKD,0.128865
2026-02-04,HKD,0.128623
2026-02-05,HKD,0.128523
2026-02-06,HKD,0.128405
2026-02-09,HKD,0.128721
2026-02-10,HKD,0.128598
2026-02-11,HKD,0.128602
2026-02-12,HKD,0.128532
2026-02-13,HKD,0.128345
2026-02-16,HKD,0.128159
2026-02-17,HKD,0.128068
2026-02-18,HKD,0.127831
2026-02-19,HKD,0.127618
2026-02-20,HKD,0.127355
2026-02-23,HKD,0.127254
2026-02-24,HKD,0.127307
2026-02-25,HKD,0.127392
2026-02-26,HKD,0.127392
2026-02-27,HKD,0.127405
2026-03-02,HKD,0.127444
2026-03-03,HKD,0.127572
2026-03-04,HKD,0.127888
2026-03-05,HKD,0.127656
2026-03-06,HKD,0.127648
2026-03-09,HKD,0.127539
2026-03-10,HKD,0.127365
2026-03-11,HKD,0.127595
2026-03-12,HKD,0.127605
2026-03-13,HKD,0.127692
2026-03-16,HKD,0.127886
2026-03-17,HKD,0.127998
2026-03-18,HKD,0.127758
2026-03-19,HKD,0.12785
2026-03-20,HKD,0.127972
2026-03-23,HKD,0.128207
2026-03-24,HKD,0.128234
2026-03-25,HKD,0.128211
2026-03-26,HKD,0.128325
2026-03-27,HKD,0.128578
2026-03-30,HKD,0.128663
2026-03-31,HKD,0.128572
2026-04-01,HKD,0.128417
2026-04-02,HKD,0.128655
2026-04-03,HKD,0.12869
2026-04-06,HKD,0.128672
2026-04-07,HKD,0.128599
2026-04-08,HKD,0.128494
2026-04-09,HKD,0.128752
2026-04-10,HKD,0.129078
2026-04-13,HKD,0.129154
2026-04-14,HKD,0.129035
2026-04-15,HKD,0.128981
2026-04-16,HKD,0.128918
2026-04-17,HKD,0.1288
2026-04-20,HKD,0.128762
2026-04-21,HKD,0.128428
2026-04-22,HKD,0.128492
2026-04-23,HKD,0.128199
2026-04-24,HKD,0.128126
2026-04-27,HKD,0.128311
2026-04-28,HKD,0.12848
2026-04-29,HKD,0.128596
2026-04-30,HKD,0.128581
2026-05-01,HKD,0.128785
2026-05-04,HKD,0.128896
2026-05-05,HKD,0.128937
2026-05-06,HKD,0.128654
2026-05-07,HKD,0.128769
2026-05-08,HKD,0.128338
2026-05-11,HKD,0.128443
2026-05-12,HKD,0.128688
2026-05-13,HKD,0.128447
2026-05-14,HKD,0.128582
2026-05-15,HKD,0.128619
2026-05-18,HKD,0.128637
2026-05-19,HKD,0.128737
2026-05-20,HKD,0.128504
2026-05-21,HKD,0.128415
2026-05-22,HKD,0.128452
2026-05-25,HKD,0.128487
2026-05-26,HKD,0.128225
2026-05-27,HKD,0.128328
2026-05-28,HKD,0.128518
2026-05-29,HKD,0.128609
2026-06-01,HKD,0.128513
2026-06-02,HKD,0.128465
2026-06-03,HKD,0.128402
2026-06-04,HKD,0.128262
2026-06-05,HKD,0.128023
2026-06-08,HKD,0.12811
2026-06-09,HKD,0.128152
2026-06-10,HKD,0.128088
2026-06-11,HKD,0.128276
2026-06-12,HKD,0.128106
2026-06-15,HKD,0.128013
2026-06-16,HKD,0.128009
2026-06-17,HKD,0.128349
2026-06-18,HKD,0.128205
2026-06-19,HKD,0.128335
